Vrid,panelistid,gender,AGEyears,AREA,RELIGIOSITY,QREL2,Q1,Q2,Q3,Q1A,Q1B,Q2A,Q2B,Q3A,Q3B,Q4A,Q4B,Q5A,Q5B,QCHECK,Q6A,Q6B,Q7A,Q7B,Q8A,Q8B,Q9A,Q9B,Q10A,Q10B,EDUCATION,FAMILYNUMBER,FAMILYSTATUS,SELFINCOME,FAMILYINCOME,Q100_19,Q100_0,Q100_1,Q100_2,Q100_3,Q100_4,Q100_5,Q100_6,Q100_7,Q100_8,Q100_9,Q100_10,Q100_11,Q100_12,Q100_13,Q100_14,Q100_15,Q100_16,Q100_17,Q100_18,PROFESSION,END
772,198035,10009,28,3,1,3,1,1999,greger,5,ferfe,8,hrh,4,trhrt,10,hyrhrh,8,trhrth,8,11,rthrth,6,rthrh,8,hrthrh,7,rthrth,7,trhrh,5,3,2,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
563,258079,10009,68,2,1,2,2,,,10,התרסק כאילו לחתך בסכין,12,קריסה מוחלטת,6,נזק בינוני,12,אישה נהרגה   ובלתי ניתן לשיקום,8,בינוני,8,12,בלתי ניתן לשיקום,9,אפשר לתקן את הדלת,12,יקח זמן מה כדי לתקן או לשחזר,12,בלתי ניתן לתקן,7,בינוני,3,5,2,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,תודה
588,576049,10009,36,1,1,1,1,2020,חיפה,7,התמוטטות הקיר,9,לא ברור כמה הבניין חדש ועומד בתקן,7,נזק בנקודה קריטית,10,המילים 'נזק משמעותי',11,התבקעות המבנה,8,10,חלק מהקירות שלמים,4,תואם להגדרה,8,תחושת בטן,4,נשמע נזק קל,4,רק סדקים,5,3,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,תודה
1019,110043,10009,49,1,1,1,2,,,7,כי הוא נפגע,9,ככה אני זוכר מהטבלה,8,נראה לי מתאים בהתאם למה שאני זוכר מהטבלה,9,נראה לי מתאים בהתאם למה שאני זוכר מהטבלה,8,נראה לי מתאים בהתאם למה שאני זוכר מהטבלה,8,9,נראה לי מתאים בהתאם למה שאני זוכר מהטבלה,7,נראה לי מתאים בהתאם למה שאני זוכר מהטבלה,8,נראה לי מתאים בהתאם למה שאני זוכר מהטבלה,8,נראה לי מתאים בהתאם למה שאני זוכר מהטבלה,7,נראה לי מתאים בהתאם למה שאני זוכר מהטבלה,5,5,2,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,6,תודה
1075,255983,10009,45,1,1,2,1,2019,בבית,8,זה משרשום,8,נזק כבד,6,נק רב,7,נזק בינוני,8,סדקים גדולים,8,9,מסנים מתמוטטים,6,נזקים קלים,10,מבנים רבים מטמוטטים,5,נזק קל,6,סדקים קלים,3,5,2,,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,תודה
1248,363494,10010,33,2,1,2,1,2001,בבאר שבע גרתי בקומה רביעית והמיטה זזה לנו ירדנו במהירות ברגל למטה הייתי בת 14 אולי זה היה פעם ראשונה ממש מלחיץ,9,כי נהרס חלק מהמבנה,12,קריסה מוחלטת,10,סדק,12,רוסי נהרג סכנת התמוטטות,11,הבניין נפתח לשניים,8,12,בניין קרס,7,סדקים,12,הכל קרס אנשים נפצעים,8,זזו נשברו,7,סדקים,3,6,2,,3,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,6,תודה
864,618093,10009,26,3,1,3,1,2000,כשהייתי בבית ספר לא זוכר מתי  בערך בשנת 2000,9,כל הגג נהרס מאוד מסוכן,11,כמו שמתארים מרגיש שזה היה ממש חזק,7,לא קרס כלום אבל סדק זה די מסוכן,12,בן אדם מת יש יותר מזה,12,מסוכן מאוד הגג קרס ונחצה לשניים אנשים שהיו בפנים אם היו   היו מתים,8,12,יש כאן קריסה מלאה של מבנה ומבנים מסביב,7,לא מסוכן מאודה זה רק סדקים,11,קרס כמעט בנין שלם זה נראה רעידת אדמה ממש חזקה,11,נשבר קשה ואבנים זזו מרגיש שהיה מאוד חזק,9,רק סדקים,2,3,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,פחות להקשות מקווה שעניתי בסדר
967,117837,10010,27,1,1,1,1,2020,בחיפה,7,כי היה נזק חלקי למבנה,9,יש נזק לשלד המבנה והוא עומד לקרוס,7,החלקים החלשים של המבנה ניזוקו,9,המבנה עומד לקרוס ויש נזק גדול,9,יש נזק גדול אך המבנה עדיין עומד,8,10,נזק גדול מאוד שאי אפשר לתקן,6,יש סדקים ונזק קל למבנה,9,לא כל המבנה שרד את הרעש,7,כי יש נזק בינוני למבנה,8,נגרם נזק גדול למבנה,3,3,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
468,49917,10009,41,3,1,1,2,,,5,יש נזק אבל לא רב,9,זה נשמע רציני ומסוכן אבל לא הרסני במיוחד,8,נשמע נזקי,11,נשמע ממש רציני ומסוכן,7,נראה נזקי,8,11,נראה הרסני מאוד,10,גם נשמע רציני,10,יש נזק רב אבל חלק נשאר על קנו,9,חלק ניזוק,6,נשמע עם ליקויים בלבד,5,4,2,,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,"סקר מעיק , מוזר והזוי ."
1279,616543,10010,27,2,1,2,1,2001,בבית,7,נראה שיש נזק לבמנה אך לא נזק הרסני לגמרי . לכן בחרתי בתשובה הזו .,10,כי הנזק רב,10,כי נגרם נזרק גרוע,12,לפי התיאור נגרם נזק אדיר,12,הבניין התמוטט נזק גרוע למבנה,8,12,נזק גרוע למקום,8,ישנו נזק אבל לא אדיר,11,כי יש נזק ולא לגמרי,7,כי יש נזק אבל לא לגמריי,5,ישנו נזק קטן .,2,4,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,סקר מעולה ומחכים
